longitude,latitude,terrain
-86.99130735071353,40.47234692404866,Grass
-86.99130721281163,40.47234638890605,Grass
-86.99130703133673,40.47234586585713,Grass
-86.99130680162534,40.47234535486925,Grass
-86.99130651823762,40.4723448484191,Grass
-86.99130619223263,40.472344351748994,Grass
-86.99130583475164,40.47234387719296,Grass
-86.99130545579875,40.472343431535954,Grass
-86.99130506496915,40.47234301734724,Grass
-86.99130463864273,40.472342607686016,Grass
-86.99130417965256,40.47234220947608,Grass
-86.9913036843932,40.47234182616972,Grass
-86.99130316014937,40.472341464573205,Grass
-86.99130263698649,40.47234113859548,Grass
-86.99130210376705,40.47234084616687,Grass
-86.99130153085916,40.47234058344204,Grass
-86.9913009066275,40.47234034996964,Grass
-86.99130024040849,40.472340149490506,Grass
-86.99129953102091,40.47233998253514,Grass
-86.99129881399949,40.47233984830154,Grass
-86.99129809303636,40.47233974502674,Grass
-86.9912973615891,40.47233967031757,Grass
-86.99129661542479,40.472339622659625,Grass
-86.99129588116695,40.472339603150154,Grass
-86.99129516745914,40.472339613228186,Grass
-86.99129443817785,40.47233965387706,Grass
-86.991293707337,40.472339726370414,Grass
-86.9912929832343,40.47233982854014,Grass
-86.99129230189088,40.47233995522822,Grass
-86.99129165875674,40.47234011611341,Grass
-86.99129102915484,40.47234032373549,Grass
-86.99129040695419,40.47234058223385,Grass
-86.99128980840305,40.4723408765793,Grass
-86.99128922073407,40.472341204204696,Grass
-86.99128863675257,40.472341564936215,Grass
-86.99128806039995,40.472341952462905,Grass
-86.99128749209386,40.47234235509391,Grass
-86.99128695373027,40.47234274960368,Grass
-86.99128642448977,40.472343133305685,Grass
-86.99128584703541,40.4723435181962,Grass
-86.99128524543681,40.47234388264188,Grass
-86.99128460160824,40.47234423343507,Grass
-86.99128393520495,40.4723445596156,Grass
-86.99128323074069,40.47234487088013,Grass
-86.99128249422348,40.472345164261576,Grass
-86.99128175263142,40.47234543157329,Grass
-86.99128099240193,40.472345678986336,Grass
-86.99128023060926,40.47234590127836,Grass
-86.99127946187869,40.47234610068694,Grass
-86.99127866986258,40.47234628003821,Grass
-86.99127787938019,40.472346433764976,Grass
-86.9912771003249,40.4723465600574,Grass
-86.99127632514886,40.47234666411092,Grass
-86.99127554949632,40.47234675005381,Grass
-86.99127475858174,40.47234682099504,Grass
-86.99127396505011,40.47234687952524,Grass
-86.99127316918039,40.47234692725296,Grass
-86.99127236924326,40.472346965737366,Grass
-86.9912715570184,40.47234699821772,Grass
-86.99127073698038,40.47234702658682,Grass
-86.9912699148957,40.472347051193616,Grass
-86.99126909711735,40.47234707213641,Grass
-86.99126826356849,40.472347089761925,Grass
-86.99126743089923,40.47234710414388,Grass
-86.99126660451917,40.472347114691686,Grass
-86.99126577028734,40.47234712136965,Grass
-86.99126492975793,40.47234712209895,Grass
-86.99126409083692,40.47234711629237,Grass
-86.99126325945643,40.47234710860815,Grass
-86.9912624234943,40.47234710324003,Grass
-86.99126158145577,40.47234710158878,Grass
-86.9912607488107,40.47234710550805,Grass
-86.99125993286411,40.472347112768574,Grass
-86.99125915866675,40.472347121321754,Grass
-86.99125838119811,40.4723471310268,Grass
-86.9912575909336,40.47234714359983,Grass
-86.99125680454739,40.47234715803359,Grass
-86.9912560428626,40.472347174548894,Grass
-86.99125531568441,40.472347195235045,Grass
-86.9912545975911,40.47234722370096,Grass
-86.99125387348425,40.472347264872816,Grass
-86.99125313889414,40.47234732398706,Grass
-86.99125239783427,40.47234740298798,Grass
-86.99125165162013,40.47234750424296,Grass
-86.99125087916364,40.472347636426456,Grass
-86.99125012936507,40.4723477943364,Grass
-86.99124937911651,40.47234798579406,Grass
-86.99124868034866,40.47234819813666,Grass
-86.99124801466535,40.47234843785175,Grass
-86.99124735659159,40.47234871341957,Grass
-86.99124673398454,40.47234901293376,Road
-86.99124615738326,40.47234932345705,Road
-86.99124560327658,40.47234965472999,Road
-86.99124505290607,40.47235001306258,Road
-86.99124449232006,40.47235039823246,Road
-86.99124393468254,40.47235079039864,Road
-86.99124337527753,40.47235118304469,Road
-86.9912428001533,40.472351579410734,Road
-86.99124221483731,40.472351968535655,Road
-86.99124161623061,40.47235234505558,Road
-86.9912410008214,40.4723527058774,Road
-86.99124037504475,40.47235304373407,Road
-86.99123974132324,40.47235335382913,Road
-86.99123909364347,40.472353634628575,Road
